"filename","title","duration_seconds","rumble_url","caption_url","player_id"
"v6zzcnc_10-06-25-Psyche-Awakens-VOD-Let-s-Take-a-Deep-Breath.srt","10/06/25 Psyche Awakens VOD: ""Let's Take a Deep Breath""","4715","https://rumble.com/v6zzcnc-100625-psyche-awakens-vod-lets-take-a-deep-breath.html","https://hugh.cdn.rumble.cloud/video/fwe2/4d/s8/11/i/x/G/o/ixGoz.fn8Si.vtt","v6xsm4s"
"v6zygak_10-06-25-Psyche-Awakens-VOD-Ready-or-Not-Here-I-Come.srt","10/06/25 Psyche Awakens VOD: ""Ready or Not, Here I Come!""","11257","https://rumble.com/v6zygak-100625-psyche-awakens-vod-ready-or-not-here-i-come.html","https://hugh.cdn.rumble.cloud/video/fwe2/34/s8/11/8/h/w/o/8hwoz.fn8Si.vtt","v6xrps0"
"v6zyfa0_10-06-25-Psyche-Awakens-VOD-Forgiveness.srt","10/06/25 Psyche Awakens VOD: ""Forgiveness""","6595","https://rumble.com/v6zyfa0-100625-psyche-awakens-vod-forgiveness.html","https://hugh.cdn.rumble.cloud/video/fwe2/e9/s8/11/y/Z/v/o/yZvoz.fn8Si.vtt","v6xrorg"
"v6zydrc_10-05-25-Psyche-Awakens-VOD-Dance-to-the-Mystery.srt","10/05/25 Psyche Awakens VOD: ""Dance to the Mystery""","6662","https://rumble.com/v6zydrc-100525-psyche-awakens-vod-dance-to-the-mystery.html","https://hugh.cdn.rumble.cloud/video/fwe2/36/s8/11/O/u/v/o/Ouvoz.fn8Si.vtt","v6xrn8s"
"v6zy7u2_10-05-25-Psyche-Awakens-VOD-Lets-Have-a-Devilishishlously-good-Morning.srt","10/05/25 Psyche Awakens VOD: ""Lets Have a Devilishishlously good Morning""","1814","https://rumble.com/v6zy7u2-100525-psyche-awakens-vod-lets-have-a-devilishishlously-good-morning.html","https://hugh.cdn.rumble.cloud/video/fwe2/58/s8/11/Q/C/t/o/QCtoz.fn8Si.vtt","v6xrhbi"
"v6zu646_10-03-25-Psyche-Awakens-VOD-Get-Your-Freak-on-Friday.srt","10/03/25 Psyche Awakens VOD: ""Get Your Freak on Friday""","18730","https://rumble.com/v6zu646-100325-psyche-awakens-vod-get-your-freak-on-friday.html","https://hugh.cdn.rumble.cloud/video/fwe2/06/s8/11/2/v/L/n/2vLnz.fn8Si.vtt","v6xnflm"
"v6ztsrc_10-03-25-Psyche-Awakens-VOD-Ghostoberfest-Continues.srt","10/03/25 Psyche Awakens VOD: ""Ghostoberfest Continues""","8161","https://rumble.com/v6ztsrc-100325-psyche-awakens-vod-ghostoberfest-continues.html","https://hugh.cdn.rumble.cloud/video/fwe2/98/s8/11/y/h/H/n/yhHnz.fn8Si.vtt","v6xn28s"
"v6zts0k_10-03-25-Psyche-Awakens-VOD-Ghostober-Continues.srt","10/03/25 Psyche Awakens VOD: ""Ghostober Continues""","4695","https://rumble.com/v6zts0k-100325-psyche-awakens-vod-ghostober-continues.html","https://hugh.cdn.rumble.cloud/video/fwe2/87/s8/11/u/4/G/n/u4Gnz.fn8Si.vtt","v6xn1i0"
"v6zsrqc_10-02-25-Psyche-Awakens-VOD-Pull-Up-a-Chair-and-Sit-a-Spell-It-s-Ghostober-Madness-Yurrd.srt","10/02/25 Psyche Awakens VOD: ""Pull Up a Chair and Sit a Spell It's Ghostober 👻 Madness! Yurrd!""","6416","https://rumble.com/v6zsrqc-100225-psyche-awakens-vod-pull-up-a-chair-and-sit-a-spell-its-ghostober-mad.html","https://hugh.cdn.rumble.cloud/video/fwe2/30/s8/11/K/z/v/n/Kzvnz.fn8Si.vtt","v6xm17s"
"v6zrqxo_10-01-25-Psyche-Awakens-VOD-Cant-We-All-Just-Get-Along.srt","10/01/25 Psyche Awakens VOD: ""Cant We All Just Get Along""","7508","https://rumble.com/v6zrqxo-100125-psyche-awakens-vod-cant-we-all-just-get-along.html","https://hugh.cdn.rumble.cloud/video/fwe2/2a/s8/11/C/W/j/n/CWjnz.fn8Si.vtt","v6xl0f4"
"v6zrq2w_10-01-25-Psyche-Awakens-VOD-Spme-People-Can-Be-So-Cruel.srt","10/01/25 Psyche Awakens VOD: ""Spme People Can Be So Cruel""","6487","https://rumble.com/v6zrq2w-100125-psyche-awakens-vod-spme-people-can-be-so-cruel.html","https://hugh.cdn.rumble.cloud/video/fwe2/bf/s8/11/i/F/j/n/iFjnz.fn8Si.vtt","v6xkzkc"
"v6zrp5y_10-02-25-Psyche-Awakens-VOD-Psyche-Continued.srt","10/02/25 Psyche Awakens VOD: ""Psyche Continued""","2173","https://rumble.com/v6zrp5y-100225-psyche-awakens-vod-psyche-continued.html","https://hugh.cdn.rumble.cloud/video/fwe2/b5/s8/11/M/m/j/n/Mmjnz.fn8Si.vtt","v6xkyne"
